Code,Paper Name,Credits
MT314P,Modeling and Analysis of Microgrids Lab,1
MT419T,Microgrid Stability Assessment and Protection,3
MT419P,Microgrid Stability Assessment and Protection Lab,1
MT421T,Human Machine Interface for Microgrids,3
MT421P,Human Machine Interface for Microgrids Lab,1
MT423T,Power Quality for Microgrids,3
MT423P,Power Quality for Microgrids Lab,1
CI306T,PLC and SCADA Systems,3
CI306P,PLC and SCADA Systems Lab,1
CI407T,Advanced Control Systems for Instrumentation,3
CI407P,Advanced Control Systems for Instrumentation Lab,1
CI409T,Neuro Fuzzy Systems,3
CI409P,Neuro Fuzzy Systems Lab,1
CI411T,Non-linear System Design,3
CI411P,Non-linear System Design Lab,1
WMC332T,Optical Networks,3
WMC332P,Optical Networks Lab,1
WMC334T,Random Processes and Stochastic Systems,3
WMC334P,Random Processes and Stochastic Systems Lab,1
WMC336T,Wireless Communication and Networks,3
WMC336P,Wireless Communication and Networks Lab,1
WMC338T,Cellular and Mobile Communication,3
WMC338P,Cellular and Mobile Communication Lab,1
WMC453T,Ad hoc and Sensor Networks,3
WMC453P,Ad hoc and Sensor Networks Lab,1
WMC455T,Mobile Computing,3
WMC455P,Mobile Computing Lab,1
WMC457,Cognitive Radio & Networks,4
WMC459,Privacy and Security in Wireless Networks,4
PS320T,"Electricity Generation, Transmission and Utilization",3
PS320P,"Electricity Generation, Transmission and Utilization Lab",1
PS322T,EHVAC and HVDC Transmission,3
PS322P,EHVAC and HVDC Transmission Lab,1
PS431T,Power System Operation and Control,3
PS431P,Power System Operation and Control Lab,1
PS433T,Flexible AC Transmission System,3
PS433P,Flexible AC Transmission System Lab,1
PS435T,Power System Analysis and Stability,3
PS435P,Power System Analysis and Stability Lab,1
CADM302T,Introduction to CAD/CAM,3
CADM302P,Introduction to CAD/CAM Lab,1
CADM304T,Injection Moulding and Mould Design,3
CADM304P,Injection Moulding and Mould Design Lab,1
CADM401T,Computational Fluid Dynamics,3
CADM401P,Computational Fluid Dynamics Lab,1
CADM403T,Computer Aided Design and Drafting,3
CADM403P,Computer Aided Design and Drafting Lab,1
CADM405T,Industrial Robotics,3
CADM405P,Industrial Robotics Lab,1
PED316T,Advanced Power Electronic Converters,3
PED316P,Advanced Power Electronic Converters Lab,1
PED318T,Industrial Control Electronics,3
PED318P,Industrial Control Electronics Lab,1
PED425T,Switch Mode Power Conversion,3
PED425P,Switch Mode Power Conversion Lab,1
PED427T,Solid State Drives,3
PED427P,Solid State Drives Lab,1
PED429T,Solar Photovoltaic Systems,3
PED429P,Solar Photovoltaic Systems Lab,1
DMS312T,Industrial Tribology,3
DMS312P,Industrial Tribology Lab,1
DMS314T,Quality Management & Quality Control,3
DMS314P,Quality Management & Quality Control Lab,1
DMS419T,Fracture Mechanics,3
DMS419P,Fracture Mechanics Lab,1
DMS421T,Advance Manufacturing Process,3
DMS421P,Advance Manufacturing Process Lab,1
DMS423T,Pressure Vessels and Piping Technology,3
DMS423P,Pressure Vessels and Piping Technology Lab,1
EV308T,Electric Vehicle Powertrain and Motor Design,3
EV308P,Electric Vehicle Powertrain and Motor Design Lab,1
EV310T,Battery Management Systems,3
EV310P,Battery Management Systems Lab,1
EV413T,EV Charging Infrastructure Technology,3
EV413P,EV Charging Infrastructure Technology Lab,1
EV415,Economics and Policies of e-Mobility,4
EV417T,Embedded Systems for Electric Vehicles,3
EV417P,Embedded Systems for Electric Vehicles Lab,1
DT316T,Automobile Engineering,3
DT316P,Automobile Engineering Lab,1
DT425T,Mechanical Vibrations,3
DT425P,Mechanical Vibrations Lab,1
DT427T,Industrial Tribology,3
DT427P,Industrial Tribology Lab,1
CEC308,Contract Management,4
CEC310,Advanced Construction Materials and Practices,4
CEC413,Quality and Safety Management,4
CEC415,Lean Construction Technology and Management,4
CEC417,Recent Construction Technologies,4
TES330T,Cryogenic Engineering,3
TES330P,Cryogenic Engineering Lab,1
TES332T,Energy Systems and Technologies,3
TES332P,Energy Systems and Technologies Lab,1
TES447T,Compressible Flow and Jet Propulsion,3
TES447P,Compressible Flow and Jet Propulsion Lab,1
TES449T,Green Energy Technology,3
TES449P,Green Energy Technology Lab,1
TES451T,Advanced IC Engines,3
TES451P,Advanced IC Engines Lab,1
IE322,Water Resource Planning,4
IE324,Advanced Environmental Engineering and Design,4
IE435,Metro Systems Engineering,4
IE437T,Transport Planning and Intelligent Transportation System,3
IE437P,Transport Planning and Intelligent Transportation System Lab,1
IE439,Analysis and Design of High-rise Buildings and Bridges,4
QM326T,Supply Chain Management,3
QM326P,Supply Chain Management Lab,1
QM328T,Flexible Manufacturing Systems,3
QM328P,Flexible Manufacturing Systems Lab,1
QM441T,Total Quality Management,3
QM441P,Total Quality Management Lab,1
QM443T,Statistical Quality Control,3
QM443P,Statistical Quality Control Lab,1
QM445,Organizational Behaviour,4
GTSE318,Planning and Design of Green Buildings,4
GTSE320,Sustainable Materials and Practices,4
GTSE429,Green Energy Concepts in Smart Cities,4
GTSE431,Intelligent Transportation System,4
GTSE433,Sustainable Engineering Technologies,4
OCSE306T,C++ Programming,3
OCSE306P,C++ Programming Lab,1
OCSE308,Digital Logic and Computer Design,4
OCSE310T,Data Structures and Algorithms,3
OCSE310P,Data Structures and Algorithms Lab,1
OCSE342T,Programming in Java,3
OCSE342P,Programming in Java Lab,1
OCSE407T,Introduction to Database Management Systems,3
OCSE407P,Introduction to Database Management Systems Lab,1
OCSE409,Operating Systems,4
OCSE411T,Introduction to Computer Networks,3
OCSE411P,Introduction to Computer Networks Lab,1
OCSE413T,Introduction to Software Engineering,3
OCSE413P,Introduction to Software Engineering Lab,1
OECE312T,Introduction to Circuits and Systems,3
OECE312P,Introduction to Circuits and Systems Lab,1
OECE344T,Introduction to Analog Electronics,3
OECE344P,Introduction to Analog Electronics Lab,1
OECE314T,Electronic Devices and Circuits,3
OECE314P,Electronic Devices and Circuits Lab,1
OECE415,Digital Logic and Computer Design,4
OECE417T,Microprocessors and Interfacing,3
OECE417P,Microprocessors and Interfacing Lab,1
OECE419T,Analog and Digital Communications,3
OECE419P,Analog and Digital Communications Lab,1
OECE421T,Wireless Sensor Networks,3
OECE421P,Wireless Sensor Networks Lab,1
OECE423,Control Systems,4
OECE425T,Introduction to Computer Networks,3
OECE425P,Introduction to Computer Networks Lab,1
OEE316T,Introduction to Circuits and Systems,3
OEE316P,Introduction to Circuits and Systems Lab,1
OEE346T,Introduction to Analog Electronics,3
OEE346P,Introduction to Analog Electronics Lab,1
OEE318T,Introduction to Electrical Machines,3
OEE318P,Introduction to Electrical Machines Lab,1
OEE427T,Control Systems for Electrical Engineering,3
OEE427P,Control Systems for Electrical Engineering Lab,1
OEE429T,"Generation, Transmission and Distribution",3
OEE429P,"Generation, Transmission and Distribution Lab",1
OEE431T,Introduction to Power Electronics,3
OEE431P,Introduction to Power Electronics Lab,1
OSD328T,C++ Programming,3
OSD328P,C++ Programming Lab,1
OSD330T,Programming in Windows Environment,3
OSD330P,Programming in Windows Environment Lab,1
OSD332T,Programming in Java,3
OSD332P,Programming in Java Lab,1
OSD334T,Android App Development,3
OSD334P,Android App Development Lab,1
OSD336T,Introduction to Database Management Systems,3
OSD336P,Introduction to Database Management Systems Lab,1
OSD445T,Data Structures and Algorithms,3
OSD445P,Data Structures and Algorithms Lab,1
OSD447T,Project Management,3
OSD447P,Project Management Lab,1
OSD449T,Design Patterns,3
OSD449P,Design Patterns Lab,1
OSD451T,Introduction to Software Engineering,3
OSD451P,Introduction to Software Engineering Lab,1
OSD453T,Advanced Java Programming,3
OSD453P,Advanced Java Programming Lab,1
OSD455T,Programming in Linux Environment,3
OSD455P,Programming in Linux Environment Lab,1
OME324T,Theory of Machines,3
OME324P,Theory of Machines Lab,1
OME326T,Materials and Machine Technology,3
OME326P,Materials and Machine Technology Lab,1
OME439T,Fluids and Thermal Engineering,3
OME439P,Fluids and Thermal Engineering Lab,1
OME441T,Mechanics and Design of Solids,3
OME441P,Mechanics and Design of Solids Lab,1
OME443T,Automation in Manufacturing,3
OME443P,Automation in Manufacturing Lab,1
OICE320T,Introduction to Sensors and Transducers,3
OICE320P,Introduction to Sensors and Transducers Lab,1
OICE322T,Measurement and Control,3
OICE322P,Measurement and Control Lab,1
OICE433,Process Control,4
OICE435T,Introduction to Industrial Instrumentation,3
OICE435P,Introduction to Industrial Instrumentation Lab,1
OICE437T,Bio Medical Instrumentation,3
OICE437P,Bio Medical Instrumentation Lab,1
OCE302,Structural Analysis and Design,4
OCE304,Pipe and Open Channel Hydraulics,4
OCE401,Green Building Construction Materials and Practices,4
OCE403,Public Health Engineering,4
OCE405,Geotechnical and Transportation Engineering,4
OUHV338,"Understanding Human Being, Nature and Existence Comprehensively",4
OUHV340,Vision for Humane Society,4
OUHV457,Human Values and Madhyasth Darshan,4
OUHV459,Human Values in Buddh and Jain Darshan,4
OUHV461,"Human Values in Vedic Darshan (Sankhya, Yoga and Vedanta)",4
OUHV463,Holistic Human Health,4
OUHV465,Human Sociology,4
OUHV467,Human Economics,4
