Code,Paper Name,Credits
ECC211,Analog Electronics I,4
ECC255,Analog Communications Lab,1
ECC257,Analog Electronics I Lab,1
ECC259,Signals and Systems Lab,1
EEC206,Network Analysis and Synthesis,3
EEC210,Microprocessors and Microcontrollers,3
EEC212,Digital Communications,3
EEC214,Analog Electronics II,3
EEC216,Electromagnetic Field Theory,3
EEC256,Microprocessors and Microcontrollers Lab,1
EEC258,Digital Communications Lab,1
EEC260,Analog Electronics II Lab,1
EEC262,Network Analysis and Synthesis Lab,1
ECC303,Digital Signal Processing,4
ECC305,Microelectronics,3
EEC307,Introduction to Control Systems,3
ECC309,"Transmission Lines, Waveguides and Antenna Design",4
ECC311,Data Communication and Networking,4
ECC351,Digital Signal Processing Lab,1
ECC353,Microelectronics Lab,1
ECC355,Introduction to Control Systems Lab,1
ECC357,"Transmission Lines, Waveguides and Antenna Design Lab",1
ECC359,Data Communication and Networking Lab,1
EAE1 / OAE1,Emerging Area or Open Area Elective Paper 1,4
EAE2 / OAE2,Emerging Area or Open Area Elective Paper 2,4
EAE3 / OAE3,Emerging Area or Open Area Elective Paper 3,4
EAE4 / OAE4,Emerging Area or Open Area Elective Paper 4,4
EAE5 / OAE5,Emerging Area or Open Area Elective Paper 5,4
ECE306T,VHDL Programming,3
ECE306P,VHDL Programming Lab,1
ECE308T,Digital Image Processing,3
ECE308P,Digital Image Processing Lab,1
ECE310,Mobile Communication,4
ECE312T,Advanced Microprocessors and Microcontroller,3
ECE312P,Advanced Microprocessors and Microcontroller Lab,1
ECE314T,RF and Microwave Engineering,3
ECE314P,RF and Microwave Engineering Lab,1
ECE316T,Mobile Computing,3
ECE316P,Mobile Computing Lab,1
ECE318T,Artificial Intelligence,3
ECE318P,Artificial Intelligence Lab,1
ECE320T,Electronic Measurements,3
ECE320P,Electronic Measurements Lab,1
ECE322T,Fabrication Technology,3
ECE322P,Fabrication Technology Lab,1
ECE324,Multimedia Communication,4
ECE326T,Optical Communication Systems and Networks,3
ECE326P,Optical Communication Systems and Networks Lab,1
ECE328,Advanced Computer Architecture,4
ECE330T,Antenna Design and Radiating Systems,3
ECE330P,Antenna Design and Radiating Systems Lab,1
ECE332,Introduction to Information and Coding Theory,4
ECE334T,Random Processes and Stochastic Systems,3
ECE334P,Random Processes and Stochastic Systems Lab,1
ECE336T,Radio and Television Engineering,3
ECE336P,Radio and Television Engineering Lab,1
ECE338T,CMOS Analog Integrated Circuit Design,3
ECE338P,CMOS Analog Integrated Circuit Design Lab,1
ECE340T,Wavelets,3
ECE340P,Wavelets Lab,1
ECE342T,Wireless Sensor Networks,3
ECE342P,Wireless Sensor Networks Lab,1
ECE344T,Embedded System Architecture and Design,3
ECE344P,Embedded System Architecture and Design Lab,1
ECE346,Solid State Microwave Device and their Application,4
ECE348,Radar and Satellite Communications,4
ECE350T,Machine Learning,3
ECE350P,Machine Learning Lab,1
ECE354T,Introduction to Power Electronics,3
ECE354P,Introduction to Power Electronics Lab,1
ECE403T,RF Components and Circuit Design,3
ECE403P,RF Components and Circuit Design Lab,1
ECE405T,Pattern Recognition,3
ECE405P,Pattern Recognition Lab,1
ECE407,Next Generation Networks,4
ECE409T,Micro Electromechanical Systems (MEMS) and Sensors,3
ECE409P,Micro Electromechanical Systems (MEMS) and Sensors Lab,1
ECE411T,Fuzzy Logic and Neural Networks,3
ECE411P,Fuzzy Logic and Neural Networks Lab,1
ECE413T,Ad hoc and Sensor Networks,3
ECE413P,Ad hoc and Sensor Networks Lab,1
ECE415,Engineering Optimization,4
ECE417T,Optoelectronics Devices,3
ECE417P,Optoelectronics Devices Lab,1
ECE435T,Logic Design and Analysis using Verilog,3
ECE435P,Logic Design and Analysis using Verilog Lab,1
ECE419T,Low Power VLSI Design,3
ECE419P,Low Power VLSI Design Lab,1
ECE421T,"Medical Image Processing, Analysis and Reconstruction",3
ECE421P,"Medical Image Processing, Analysis and Reconstruction Lab",1
ECE423T,Network Security and Cryptography,3
ECE423P,Network Security and Cryptography Lab,1
ECE425,Real Time Operating Systems,4
ECE427T,Smart Antennas,3
ECE427P,Smart Antennas Lab,1
ECE429T,Introduction to Internet of Things,3
ECE429P,Introduction to Internet of Things Lab,1
ECE431T,Nature Inspired Biological Optimization Techniques,3
ECE431P,Nature Inspired Biological Optimization Techniques Lab,1
ECE433,Introduction to Robotics Engineering,4
ECC209,Electrical Materials,3
ECC211,Electrical Machines I,4
ECC213,Electromagnetic Field Theory,3
ECC215,Electronics I,3
ECC257,Electrical Machines I Lab,1
ECC259,Electrical Engineering Workshop,1
ECC261,Electronics I Lab,1
EEC210,Electrical Machines II,4
EEC212,Power Systems I,4
EEC218,Electronics II,4
EEC256,Electrical Machines II Lab,1
EEC260,Power Systems I Lab,1
EEC264,Electronics II Lab,1
ECC303,Power Systems II,4
EEC305,Electrical and Electronics Measuring Instruments,4
